pipeline_version,n,d,C,repeat,method,runtime_sec,n_times_d,orientation,solver,cond_raw,cond_reg,lambda_min_raw,lambda_min_reg,lambda_max_raw,lambda_max_reg,system_min_singular_value,solver_svd_tolerance,coef_fro_norm,mean_iter,converged,mean_huber_weight,frac_downweighted,ridge_lambda,huber_delta,residual_mode,effective_delta_on_l2_norm,error
main_corrected_inverse_map_2026-08-31_v2,1000,100,3,0,RidgeAIME,0.0004011249402537942,100000,X ~= Y A^T,SVD normal-system solve,4.591854509593114,4.591360483098356,72.6957060235723,72.70570602357226,333.80810553239576,333.8181055323958,72.70570602357229,3.338181055323959e-10,9.17501881030605,1,True,1.0,0.0,0.01,1.0,rms,10.0,
main_corrected_inverse_map_2026-08-31_v2,1000,100,3,0,HuberRidgeAIME,0.0011929169995710254,100000,X ~= Y A^T,SVD normal-system solve,4.581143271094625,4.580633298463424,70.21226394123873,70.22226394123875,321.6524405027256,321.66244050272564,70.22226394123871,3.216624405027257e-10,8.9863751098791,5,True,0.9636437901560275,0.05,0.01,1.0,rms,10.0,
main_corrected_inverse_map_2026-08-31_v2,1000,100,3,1,AIME,0.00044120894744992256,100000,X ~= Y A^T,SVD normal-system solve,4.644915532337107,4.644915532337107,71.81141557495394,71.81141557495394,333.5579596032184,333.5579596032184,71.8114155749539,3.3355795960321836e-10,10.777775503962653,1,True,1.0,0.0,0.0,1.0,rms,10.0,
main_corrected_inverse_map_2026-08-31_v2,1000,100,3,1,HuberAIME,0.001269000000320375,100000,X ~= Y A^T,SVD normal-system solve,4.587316126741223,4.587316126741223,70.09056165802119,70.09056165802119,321.52756382619066,321.52756382619066,70.09056165802122,3.2152756382619073e-10,10.642894289562365,5,True,0.9642009276258193,0.05,0.0,1.0,rms,10.0,
main_corrected_inverse_map_2026-08-31_v2,1000,100,3,1,RidgeAIME,0.0004111669259145856,100000,X ~= Y A^T,SVD normal-system solve,4.644915532337107,4.644408035303924,71.81141557495394,71.82141557495393,333.5579596032184,333.5679596032184,71.82141557495392,3.3356795960321834e-10,10.776711998081032,1,True,1.0,0.0,0.01,1.0,rms,10.0,
main_corrected_inverse_map_2026-08-31_v2,1000,100,3,1,HuberRidgeAIME,0.0014793750597164035,100000,X ~= Y A^T,SVD normal-system solve,4.587316141327887,4.586804402752099,70.09056132284735,70.10056132284734,321.5275633110297,321.5375633110297,70.10056132284734,3.215375633110299e-10,10.64182782740798,5,True,0.9642009260995003,0.05,0.01,1.0,rms,10.0,
main_corrected_inverse_map_2026-08-31_v2,1000,100,3,2,AIME,0.0004455419257283211,100000,X ~= Y A^T,SVD normal-system solve,4.935352547246362,4.935352547246362,67.58034406659645,67.58034406659645,333.53282323286237,333.53282323286237,67.58034406659647,3.335328232328624e-10,10.173739464265616,1,True,1.0,0.0,0.0,1.0,rms,10.0,
main_corrected_inverse_map_2026-08-31_v2,1000,100,3,2,HuberAIME,0.001451167045161128,100000,X ~= Y A^T,SVD normal-system solve,4.925003940336689,4.925003940336689,65.27852320310315,65.27852320310315,321.49698399464296,321.49698399464296,65.27852320310316,3.2149698399464296e-10,9.960322586248061,5,True,0.9636886271136047,0.05,0.0,1.0,rms,10.0,
main_corrected_inverse_map_2026-08-31_v2,1000,100,3,2,RidgeAIME,0.0004200829425826669,100000,X ~= Y A^T,SVD normal-system solve,4.935352547246362,4.934770311336538,67.58034406659645,67.59034406659651,333.53282323286237,333.54282323286225,67.5903440665965,3.3354282323286225e-10,10.172738541522131,1,True,1.0,0.0,0.01,1.0,rms,10.0,
main_corrected_inverse_map_2026-08-31_v2,1000,100,3,2,HuberRidgeAIME,0.001199541031382978,100000,X ~= Y A^T,SVD normal-system solve,4.9250039339086324,4.92440275567031,65.27852316500964,65.28852316500964,321.4969833874183,321.5069833874183,65.28852316500958,3.215069833874183e-10,9.959318332670437,5,True,0.9636886252779798,0.05,0.01,1.0,rms,10.0,
main_corrected_inverse_map_2026-08-31_v2,1000,300,3,0,AIME,0.0010053749429062009,300000,X ~= Y A^T,SVD normal-system solve,4.575786278513749,4.575786278513749,72.85721266815901,72.85721266815901,333.3790340177201,333.3790340177201,72.85721266815904,3.3337903401772016e-10,17.61467794095947,1,True,1.0,0.0,0.0,1.0,rms,17.320508075688775,
main_corrected_inverse_map_2026-08-31_v2,1000,300,3,0,HuberAIME,0.0027542089810594916,300000,X ~= Y A^T,SVD normal-system solve,4.5867739762866035,4.5867739762866035,69.97917933771699,69.97917933771699,320.97867866813345,320.97867866813345,69.97917933771704,3.209786786681335e-10,17.363696967916486,5,True,0.9627949484447453,0.05,0.0,1.0,rms,17.320508075688775,
main_corrected_inverse_map_2026-08-31_v2,1000,300,3,0,RidgeAIME,0.0009120410541072488,300000,X ~= Y A^T,SVD normal-system solve,4.575786278513749,4.575295552143469,72.85721266815901,72.86721266815901,333.3790340177201,333.3890340177202,72.867212668159,3.333890340177201e-10,17.61296976521368,1,True,1.0,0.0,0.01,1.0,rms,17.320508075688775,
main_corrected_inverse_map_2026-08-31_v2,1000,300,3,0,HuberRidgeAIME,0.002729750005528331,300000,X ~= Y A^T,SVD normal-system solve,4.586773981402107,4.586261505898485,69.97917911306418,69.98917911306417,320.9786779956805,320.98867799568046,69.98917911306418,3.209886779956804e-10,17.361966681289104,5,True,0.962794946402305,0.05,0.01,1.0,rms,17.320508075688775,
main_corrected_inverse_map_2026-08-31_v2,1000,300,3,1,AIME,0.0012655409518629313,300000,X ~= Y A^T,SVD normal-system solve,4.689591107530006,4.689591107530006,71.09754804722769,71.09754804722769,333.4184290894663,333.4184290894663,71.0975480472277,3.3341842908946637e-10,17.0041661196917,1,True,1.0,0.0,0.0,1.0,rms,17.320508075688775,
main_corrected_inverse_map_2026-08-31_v2,1000,300,3,1,HuberAIME,0.0027512500528246164,300000,X ~= Y A^T,SVD normal-system solve,4.749651545095573,4.749651545095573,67.57866226335251,67.57866226335251,320.97509763462415,320.97509763462415,67.57866226335253,3.209750976346242e-10,16.687634145144155,5,True,0.9626808394542452,0.05,0.0,1.0,rms,17.320508075688775,
main_corrected_inverse_map_2026-08-31_v2,1000,300,3,1,RidgeAIME,0.0008482909761369228,300000,X ~= Y A^T,SVD normal-system solve,4.689591107530006,4.689072232781989,71.09754804722769,71.10754804722762,333.4184290894663,333.4284290894662,71.10754804722765,3.334284290894663e-10,17.002421153150614,1,True,1.0,0.0,0.01,1.0,rms,17.320508075688775,
